11066,Медицина,"Лекарите, на които вярваме - списание, посветено на Ковид-19. Симптоми, открития, тайни, статистика, ваксини... Всичко, което трябва да знаете за вируса, променил света! Едно пълноцветно списание, само с проверена информация! Ценна за цялото семейство!  Поръчайте ексклузивно на www.trud.cc!"
11060,Приказки,"Свалете или прочетете онлайн какво прави страхливиятвълк Гошо по време на скучната карантина! Само сега и специално за най-малките ни читатели подаряваме свежа и поучителна детска книжка, защото ние и Чичо Ники мислим за вас.  Влезте в секция Откъс и се забавлявайте! Останете вкъщи и скоро ще се видим пак!"
11058,Приключенски романи,"Приключенията в „Край Рио де ла Плата“ започват от Монтевидео в Уругвай, от пампата и девствените гори на Южна Америка. Една тайна влече млад немец към вътрешността на Аржентина, където среща революционера Лопес Хордан. По пътя си се натъква на различни хора – лукави политици, военни и богати търговци, замесени във вътрешнополитически борби, берачи на чай, гаучоси, пеони, емигранти от Европа, потърсили нов живот в Америка, и много други. Макар че почти всички в началото се отнасят към него с насмешка, младият мъж доказва, че е подготвен и то не само на теория за предизвикателствата на суровия живот сред дивата природа. Той е отличен ездач, стрелец, плувец, познава добре нрава и обичаите на индианците, бързо се ориентира в обстановката и преценява характера и качествата на хората, с които се сблъсква. С доброто си сърце, честност, откритост и умения печели истински и трайни приятелства. Изпитанията пред него и приятелите му продължават в следващата част „През Кордилерите“."
11057,Приказки," Гошо и приятелите му научават, че на върха на близката планина има скрито съкровище. Те тръгват към върха и преодоляват много препятствия. На върха не намират нищо, но разбират, че съкровището е приятелството."
11056,Приказки,"„Пинокио” е едно от най-прочутите произведения в историята на детската литература. Интересно е, че тази книжка е едно от най-превежданите произведения за всички времена по цял свят. Преведена е на над 90 езика. Името на бележития герой идва от италианската дума pino, която означава бор, дървено трупче, от което Джепето създава Пинокио. Авторът на романа - Карло Клоди - не замисля творбата си като роман за деца. Първоначално краят e алегоричен и разказът за човечето направено от дърво не завършва щастливо. Пинокио умира мъчително, заради многото грешки, които е направил. Но по молба на редактора, Клоди добавя главите от 16 до 36, в които Синята фея превръща дървеното човече в истинско момче. Така първоначалната идея на автора се променя и в крайна сметка “Пинокио” става роман за деца. Самата творба е изпълнена с множество алегории и има образователен характер – носът на Пинокио пораства с всяка негова лъжа. КК „Труд” предлага на най-малките си читатели цветно и луксозно издание на любимата книга в поредицата Жива вода. Илюстрациите са на Матея Аркова.Непослушното дървено момче ще Ви покаже как човек може да бъде лош, мързелив и наивен, но и как може да се промени и да стане добър, стига да пожелае."
11055,Приказки,"Великден Зайчето Питър обича! Не защото с него идва пролетта, а защото много обича да подарява шарени яйца. Вижте какви яйца е приготвил за своите пухкави приятели! А на всяко от животинчетата малкият читател може да пипне и усети каква е козинката му! Книжката съдържа меки части от плат!"
11052,Приключенски романи,"Ако сте фенове на “Дневниците на принцесата”, ако магиите на Хари Потър и неговите приятели ви очароват, то значи ще ви хареса и “Принцеса под прикритие”! Лоти Пъмпкин живее в таванската стая на улица „Бетесда Хил“, номер дванайсет, в Сейнт Ийв, заедно с мащехата си Бийди. Тяе обикновено момиче, което копнее да бъде принцеса. Елинор Пруденс Улфсън, единствена дъщеря на крал Александър Улфсън и престолонаследницана Марадова, не живеев подобно място. Тя обаче епринцеса, която копнее да бъде обикновено момиче. Когато съдбата поставя идвете четиринадесетгодишнимомичетав едно и също общежитиев престижното училище “Роузууд Хол”, се оказва, че външно те твърде много си приличат. Атова е и началото на интересен, но и опасен план.Но някой еразбралтайнатаими в“Роузууд Хол”нищо не етакова, както изглежда...  Докатое студентка,КониГлинпоставя началото на изключително успешния си „Ю Тюб“ каналNoodlerella (комбинация от имената на любиматайхрана и любимата й Дисни принцеса). В него Кони дава израз на„слабостите“си, които включват комикси, анимация, видео игри, косплей и всякакви сладурски нещица. Кони има повече от 950000 последователи на канала си и над 86 милиона гледания. През 2016г.тя дебютира и в киното, озвучавайки Мокси Дюдроп във великобританското издание на „Тролчета“."
11049,Мемоари и обществено-политическа литература,"Един зимен ден на 1941 г., когато дърво и камък се пукат от студ, в кабинета на Андрей Праматаров, началник на от- деление “Б” (контраразузнаване), пристига фелдфебелът ординарец на столичния военен комендант и му подава плик с гриф “Строго секретно”. Праматаров го отваря и прочита бележката. Учудването му е голямо, но не го изкарва от равновесие, защото тренингът му е от години и ежедневието му е изпълнено със стрес, шантаж и изненади. Помощник-адютантът на столичния военен комендант поручик Димитър Радев му пише, че трябва същия ден в 11 часа да отиде в Гарнизонния затвор за разследване на специален обект. По вида на поручика шефът на контрашпионажа разбира, че работата е сериозна. Но когато помощник-адютантът започва да го разпитва, да задава въпроси и да се държи служебно, Праматаров едва се овладява да не кипне от възмущение. Само опитът, който има, го спасява да запази привидно спокойствие. Поручикът иска ни повече, ни по-малко полицейският шеф да седне и да напише всичко, което знае за инж. Георги Иванов Вълков, роден на 28 октомври 1897 г. в Търново."
11048,Български романи,"Ужасен страх е сковал Сердика. Млади момичета изчезват, отнесени от змей. Строители намират древен запечатан ковчег, в който лежи непокътнато тяло на светица. Римският папа и Константинополският патриарх искат реликвата за себе си. Шпионите на княз Борис му донасят, че в града се готви заговор. Малко момиче на име Хуба заедно с княжеския писар Климент ще трябва да разрешат страховитите загадки, докато смъртта ги дебне на всяка крачка."
11044,Медицина,"Открай време лимоните са постоянен компонент в нашето меню. С увереност можем да кажем, че в тях потенциално има повече лековити вещества, отколкото в най-силните синтетични препарати. Лимоните и получаваните от тях лекарства имат съществени предимства – те въздействат на човешкия организъм много по-благоприятно, отколкото синтетичните лекарствени средства, понасят се по-леко, доста по-рядко предизвикват странични алергични реакции и веществата в тях не се натрупват в организма. Извън всяко съмнение е, че лимоните са един от най-големите дарове на природата. Достъпността, лесното приготвяне, удобството при използването и липсата на нежелани ефекти дават възможност да се възползваме от лечебните свойства на лимона ежедневно и да го включим в домашната си аптека. В книгата ще намерите лесно приложими рецепти за лечение с лимони на всякакви видове заболявания - от простудни и вирусни, през хронични болести на белите дробове, стомаха, жлъчката, черния дроб, отделителната и половата система, ендокринната система, устната кухина, нервната система, опорно-двигателния апарат, кожата, сърдечно-съдовата система, очите, ушите до онкологични заболявания. Ще намерите съвети за приготвяне на общоукрепващи и успокояващи средства."
