BookId,BookTItle
0195153448,"Classical Mythology"
0002005018,"Clara Callan"
0060973129,"Decision in Normandy"
0374157065,"Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It"
0393045218,"The Mummies of Urumchi"
0399135782,"The Kitchen God's Wife"
0425176428,"What If?: The World's Foremost Military Historians Imagine What Might Have Been"
0671870432,"PLEADING GUILTY"
0679425608,"Under the Black Flag: The Romance and the Reality of Life Among the Pirates"
074322678X,"Where You'll Find Me: And Other Stories"
0771074670,"Nights Below Station Street"
080652121X,"Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust"
0887841740,"The Middle Stories"
1552041778,"Jane Doe"
1558746218,"A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)"
1567407781,"The Witchfinder (Amos Walker Mystery Series)"
1575663937,"More Cunning Than Man: A Social History of Rats and Man"
1881320189,"Goodbye to the Buttermilk Sky"
0440234743,"The Testament"
0452264464,"Beloved (Plume Contemporary Fiction)"
0609804618,"Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source"
1841721522,"New Vegetarian: Bold and Beautiful Recipes for Every Occasion"
1879384493,"If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself"
0061076031,"Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)"
0439095026,"Tell Me This Isn't Happening"
0689821166,"Flood : Mississippi 1927"
0971880107,"Wild Animus"
0345402871,"Airframe"
0345417623,"Timeline"
0684823802,"OUT OF THE SILENT PLANET"
0375759778,"Prague : A Novel"
0425163091,"Chocolate Jesus"
3404921038,"Wie Barney es sieht."
3442353866,"Der Fluch der Kaiserin. Ein Richter- Di- Roman."
3442410665,"Sturmzeit. Roman."
3442446937,"Tage der Unschuld."
0375406328,"Lying Awake"
0446310786,"To Kill a Mockingbird"
0449005615,"Seabiscuit: An American Legend"
0060168013,"Pigs in Heaven"
038078243X,"Miss Zukas and the Raven's Dance"
055321215X,"Pride and Prejudice"
067176537X,"The Therapeutic Touch: How to Use Your Hands to Help or to Heal"
0061099686,"Downtown"
0553582909,"Icebound"
0671888587,"I'll Be Seeing You"
0553582747,"From the Corner of His Eye"
0425182908,"Isle of Dogs"
042518630X,"Purity in Death"
0440223571,"This Year It Will Be Different: And Other Stories"
0812523873,"Proxies"
0842342702,"Left Behind: A Novel of the Earth's Last Days (Left Behind #1)"
0440225701,"The Street Lawyer"
0060914068,"Love, Medicine and Miracles"
0156047624,"All the King's Men"
0245542957,"Pacific Northwest"
0380715899,"A Soldier of the Great War"
0553280333,"Getting Well Again"
0961769947,"Northwest Wines and Wineries"
0964778319,"An Atmosphere of Eternity: Stories of India"
0671623249,"LONESOME DOVE"
0679810307,"Shabanu: Daughter of the Wind (Border Trilogy)"
0679865691,"Haveli (Laurel Leaf Books)"
2070423204,"Lieux dits"
0345260317,"The Dragons of Eden: Speculations on the Evolution of Human Intelligence"
0394743741,"The yawning heights"
042511774X,"Breathing Lessons"
0804106304,"The Joy Luck Club"
1853262404,"Heart of Darkness (Wordsworth Collection)"
0312970242,"The Angel Is Near"
1853260053,"Tess of the D'Urbervilles (Wordsworth Classics)"
1414035004,"The Adventures of Drew and Ellie: The Magical Dress"
0060938412,"The Accidental Virgin"
0140067477,"The Tao of Pooh"
0345465083,"Seabiscuit"
0451625889,"The Prince"
1558531025,"Life's Little Instruction Book (Life's Little Instruction Books (Paperback))"
0441783589,"Starship Troopers"
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)"
1569871213,"Black Beauty (Illustrated Classics)"
0375410538,"Anil's Ghost"
0966986105,"Prescription for Terror"
087113375X,"Modern Manners: An Etiquette Book for Rude People"
0340767936,"Turning Thirty"
0743403843,"Decipher"
0060930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell"
0060177586,"Standing Firm: A Vice-Presidential Memoir"
0071416331,"Team Bush : Leadership Lessons from the Bush White House"
0375509038,"The Right Man : The Surprise Presidency of George W. Bush"
0553062042,"Daybreakers Louis Lamour Collection"
0316769487,"The Catcher in the Rye"
8445071408,"El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish))"
8445071769,"El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback))"
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)"
0679429220,"Midnight in the Garden of Good and Evil: A Savannah Story"
0671867156,"Pretend You Don't See Her"
0312252617,"Fast Women"
0312261594,"Female Intelligence"
0316748641,"Pasquale's Nose: Idle Days in an Italian Town"
0316973742,"The Gospel of Judas: A Novel"
0385235941,"Prize Stories, 1987: The O'Henry Awards"
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!"
0451166892,"The Pillars of the Earth"
0553347594,"McDonald's: Behind the Arches"
0671621009,"Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!"
067976397X,"Corelli's Mandolin : A Novel"
